Question_ID,Question_Text,Type,Domains,Target_Metric,Modifier_Type,Special_Computation,Options_Summary
A1_1,What is the primary function of the AI system?,multiselect,"Accountability, Transparency and Explainability",Impact,Standard,N/A,8 options
A1_2,What version is the AI system currently at?,text,Accountability,None,N/A,N/A,No scoring
A1_3,Which AI features or capabilities does the system include?,multiselect,"Accountability, Transparency and Explainability",Impact,Standard,N/A,10 options
A1_4,What types of decisions or problems does the AI system address?,multiselect,"Accountability, Fairness",Impact,Standard,N/A,9 options
A1_5,What tangible benefits does the AI system provide?,multiselect,Accountability,Impact,negative,N/A,8 options
A1_6,Does the system convert its outputs directly into actions without human intervention?,yes_no,"Accountability, Reliability and Safety",Likelihood,Standard,AutonomyFactor,1 options
A1_7,What type(s) of AI model or algorithm does the system use?,multiselect,"Transparency and Explainability, Accountability",Impact,Standard,N/A,10 options
A1_8,Where did the AI system or model originate?,multiselect,"Accountability, Transparency and Explainability",Impact,Standard,N/A,6 options
A1_9,How is the AI system integrated into your operations?,multiselect,Reliability and Safety,Likelihood,Standard,N/A,6 options
A2_1,How are data sources and quality tracked?,multiselect,"Privacy Protection and Security, Transparency and Explainability",Control_Effectiveness,negative,N/A,6 options
A2_2,"What environmental, external, or real-time data does the system rely on?",text,Reliability and Safety,Impact,Standard,N/A,See schema for details
A2_3,What safeguards exist to ensure data quality and integrity?,multiselect,Reliability and Safety,Control_Effectiveness,negative,N/A,7 options
A2_4,What types of data does the system process?,multiselect,Privacy Protection and Security,Impact,Standard,N/A,9 options
A2_5,Rate the quality of input data on the following dimensions (1-5 scale),rating_multi,Reliability and Safety,Likelihood,Standard,DataQualityFactor,5 dimensions
A2_6,What is the Business Impact Level (BIL) of the input data?,single_select,Privacy Protection and Security,Impact,Standard,N/A,5 options
A2_7,Does the system process regulated or sensitive data?,yes_no,"Privacy Protection and Security, Accountability",Impact,Standard,N/A,2 options
A2_8,Are user inputs required for the system to function?,yes_no,Reliability and Safety,Likelihood,Standard,N/A,2 options
A3_1,What types of human-AI interfaces does the system use?,multiselect,"Transparency and Explainability, Accountability",Likelihood,Standard,N/A,7 options
A3_2,Rate the typical expertise of users interacting with the system (1-5 scale),rating_multi,"Accountability, Transparency and Explainability",Likelihood,Standard,ExpertiseFactor,3 dimensions
A3_3,Which groups are impacted by the system's decisions?,multiselect,"Fairness, Accountability",Impact,Standard,N/A,See schema for details
A3_4,How are affected parties notified that AI is involved in decisions?,multiselect,"Transparency and Explainability, Accountability",Control_Effectiveness,negative,N/A,5 options
A3_5,What impacts could the system have on staff? (Select impacts and rate severity 1-5),multiselect_with_severity,"Fairness, Accountability",Impact,Standard,N/A,See schema for details
A3_6,What impacts could the system have on external groups? (Select impacts and rate severity 1-3),multiselect_with_severity,"Fairness, Accountability",Impact,Standard,N/A,See schema for details
A4_1,What are the primary outputs of the AI system?,multiselect,"Accountability, Transparency and Explainability",Impact,Standard,N/A,10 options
A4_2,Are outputs sent to external systems without human review?,yes_no,"Accountability, Reliability and Safety",Likelihood,Standard,N/A,2 options
A4_3,What is the Business Impact Level (BIL) of the system outputs?,single_select,Privacy Protection and Security,Impact,Standard,N/A,6 options
A4_4,How are system outputs tracked?,multiselect,"Accountability, Contestability",Control_Effectiveness,negative,N/A,6 options
A4_5,Are there risks associated with unauthorized access to system outputs?,yes_no_with_options,"Privacy Protection and Security, Reliability and Safety",Impact and Likelihood,dual,N/A,1 options
A4_6,What types of regulated or sensitive data are included in system outputs?,multiselect,"Privacy Protection and Security, Fairness",Impact,Standard,N/A,9 options
A4_7,Who has access to personally identifiable information (PII) in system outputs?,text,Privacy Protection and Security,TBD,Standard,N/A,See schema for details
A4_8,"Could system outputs trigger legal, regulatory, or compliance actions?",text,Accountability,TBD,Standard,N/A,See schema for details
A5_1,Who is accountable for the AI system's performance and decisions?,single_select,Accountability,Control_Effectiveness,negative,N/A,7 options
A5_10,Does the AI system operate under specific regulatory obligations or frameworks?,yes_no_with_subsections,"Accountability, Privacy Protection and Security",Control_Effectiveness,negative,N/A,2 options
A5_11,Where will this AI solution be deployed?,single_select,"Accountability, Reliability and Safety, Human, Societal and Environmental Wellbeing",Likelihood and Control_Effectiveness,dual,N/A,6 options
A5_2,How is system performance tracked and reported?,text,"Accountability, Transparency and Explainability",TBD,Standard,N/A,See schema for details
A5_3,What monitoring and evaluation processes are in place? (Select all that apply),multiselect,"Reliability and Safety, Accountability",Control_Effectiveness,negative,N/A,5 options
A5_4,How frequently will monitoring and evaluation occur?,single_select,Reliability and Safety,Control_Effectiveness,negative,N/A,5 options
A5_5,Has the system undergone independent review or audit?,yes_no,"Accountability, Transparency and Explainability",Control_Effectiveness,negative,N/A,2 options
A5_6,Who is responsible for ongoing monitoring?,single_select,Accountability,Control_Effectiveness,negative,N/A,7 options
A5_7,What stakeholder engagement activities have been conducted?,multiselect,"Human-centred Values, Fairness",Control_Effectiveness,negative,N/A,7 options
A5_8,What methods exist for detecting harm and responding to incidents?,multiselect,"Reliability and Safety, Human, Societal and Environmental Wellbeing",Control_Effectiveness,negative,N/A,7 options
A5_9,"Which values, principles, or frameworks guide the AI system's development and use?",multiselect,"Accountability, Transparency and Explainability",Control_Effectiveness,negative,N/A,8 options
