Domain,Question ID,Question,Explanation,Q_Foundational,Q_Developing,Q_Established,Q_Leading
Accountability & Ethics,AE-01,How does the organisation define and uphold accountability for AI outcomes?,"Context
AI accountability ensures that humans—not algorithms—remain responsible for outcomes and decisions. Without explicit accountability, it becomes unclear who owns errors, ethical breaches, or unintended consequences. This question evaluates whether your organisation has clearly assigned accountability for AI decision-making, outcomes, and impacts across leadership, development, and operational teams.Example: A council’s Responsible AI Policy assigns accountability for each AI project to a nominated business owner, who must ensure ethical reviews, compliance checks, and performance monitoring are completed and documented.",Accountability for AI decisions or impacts is undefined or informal.,Some accountability exists but is inconsistently applied across projects.,Clear accountability for AI outcomes is documented in policies and assigned to responsible officers.,"Enterprise-wide accountability is embedded through governance frameworks, KPIs, and public reporting on AI performance."
Accountability & Ethics,AE-02,How does the organisation define and apply ethical principles to guide AI development and use?,"Context
Ethical principles form the foundation of responsible AI. Without clear guidance, teams may unintentionally design or deploy systems that conflict with community values or legal obligations. This question assesses whether your organisation has defined a set of ethical principles—such as fairness, transparency, accountability, and human oversight—and consistently applies them across AI projects.Example: A council adopts an “AI Ethics Charter” aligned with Australia’s AI Ethics Principles. It requires all projects to demonstrate compliance with these principles before approval and includes an ethics checklist in project templates.",No defined ethical principles or guidance exist for AI use.,Ethical principles are mentioned in policy documents but not consistently applied.,"Ethical principles are clearly defined, communicated, and embedded in AI governance and project processes.","Ethical principles are operationalised through measurable standards, mandatory reviews, and public transparency reporting."
Accountability & Ethics,AE-03,How does the organisation ensure appropriate human oversight of AI systems and decisions?,"Context
Human oversight safeguards against automation bias and unintended harm. Without clear oversight mechanisms, AI systems may operate unchecked, making opaque or unethical decisions. This question evaluates whether the organisation ensures human review, intervention, and approval at key stages of AI design, deployment, and operation.Example: A council mandates that AI recommendations affecting citizens—such as service eligibility or resource allocation—require human validation before implementation, with decision logs recorded for accountability and audit purposes.",AI systems operate autonomously with minimal or no human review.,Some human oversight exists but is informal or inconsistently applied.,Defined oversight procedures require human review and approval for critical AI decisions.,"Human oversight is embedded organisation-wide, supported by training, escalation protocols, and audit verification."
Accountability & Ethics,AE-04,How does the organisation identify and manage conflicts of interest in AI governance and decision-making?,"Context
Conflicts of interest can undermine trust and fairness in AI decision-making, particularly when individuals or departments stand to benefit from certain outcomes. Without defined management processes, bias and undue influence may distort ethical reviews or project approvals. This question assesses whether the organisation proactively identifies, declares, and mitigates potential conflicts within AI governance structures and project teams.Example: A council’s AI Governance Committee requires members to complete annual conflict-of-interest declarations and recuse themselves from reviews of projects in which they have a personal or departmental interest.",Conflicts of interest are unmanaged or addressed informally on a case-by-case basis.,"Some declarations exist, but processes are inconsistent or poorly enforced.","Formal conflict-of-interest policies cover AI projects and governance bodies, supported by disclosure records.","Conflicts are actively monitored, with transparent disclosures, recusal protocols, and independent review mechanisms."
Accountability & Ethics,AE-05,How are ethical reviews conducted for AI projects and decisions?,"Context
Ethical reviews ensure AI projects align with organisational values, community expectations, and regulatory standards. Without a structured review process, potential harms—such as bias, discrimination, or privacy violations—may go undetected. This question evaluates whether the organisation conducts formal ethical assessments for AI systems, including documented reviews, approval criteria, and decision-making transparency.Example: A council requires all AI projects to undergo an Ethics Impact Assessment before deployment. The results are reviewed by a cross-functional committee that includes Legal, Risk, and Community representatives.",Ethical considerations are informal or addressed only after deployment.,"Some AI projects undergo ethics discussions, but reviews are inconsistent or undocumented.","A formal ethical review process is in place, with structured templates, decision criteria, and review records.","Ethical reviews are mandatory for all AI projects, integrated with risk and governance workflows, and results are transparently reported."
Accountability & Ethics,AE-06,How are ethical issues or breaches in AI use escalated and resolved?,"Context
Ethical issues may arise during AI design, deployment, or operation—such as bias, unfair outcomes, or data misuse. Without a defined escalation pathway, these issues can be ignored or mishandled, eroding public trust. This question assesses whether the organisation has formal mechanisms for reporting, investigating, and resolving ethical concerns related to AI systems.Example: A council introduces an “AI Ethics Hotline” allowing staff or the public to report concerns. Reported issues are reviewed by the AI Governance Committee, which determines corrective actions and tracks outcomes through to resolution.","Ethical issues are handled informally, with no clear reporting or resolution process.",Some escalation occurs through general complaints or HR processes but lacks AI-specific procedures.,"Defined processes exist for raising, investigating, and resolving AI ethical issues, with documented outcomes.","A dedicated AI ethics escalation framework enables confidential reporting, independent investigation, and transparent resolution tracking."
Accountability & Ethics,AE-07,How does the organisation promote an ethical culture and awareness around AI use?,"Context
An ethical culture ensures responsible AI practices become part of everyday decision-making rather than a compliance afterthought. Without cultural reinforcement, even well-written policies may be ignored in practice. This question evaluates whether the organisation actively builds awareness, provides training, and fosters dialogue around ethical AI principles across all levels of staff and leadership.Example: A council runs quarterly “Responsible AI Awareness” sessions for executives and staff, highlighting case studies on bias and accountability, and embedding ethical considerations into project planning templates.",Ethical AI awareness is minimal; staff receive no formal training or guidance.,Ethics awareness activities occur occasionally but lack consistent structure or leadership endorsement.,"Regular training and communications promote AI ethics, supported by management participation and internal campaigns.","Ethical AI culture is embedded enterprise-wide, with leadership modelling behaviour, mandatory training, and continuous engagement."
Accountability & Ethics,AE-08,How does the organisation demonstrate external transparency and public accountability in its use of AI?,"Context
External transparency reinforces trust by allowing the public and stakeholders to understand how and why AI is used. Without open communication, organisations risk suspicion, reputational damage, and reduced community confidence. This question evaluates whether the organisation discloses information about AI systems, decisions, and impacts in a clear and accessible way.Example: A council publishes an online “AI Register” describing each active AI system, its purpose, decision scope, ethical review status, and contact details for public inquiries.",The organisation provides little or no public information on AI use.,Limited transparency through ad-hoc media releases or project summaries.,"Regular public reporting describes AI systems, purposes, and governance measures.","Comprehensive transparency framework includes an AI register, ethical summaries, impact reports, and public engagement processes."
Continuous Improvement & Assurance,CA-01,How does the organisation track performance and improvement of its AI governance framework over time?,"Context
Continuous performance tracking ensures AI governance remains effective and aligned with organisational goals. Without measurement, progress toward responsible AI adoption cannot be demonstrated or improved. This question assesses whether the organisation defines key performance indicators (KPIs) and metrics to monitor AI maturity, governance effectiveness, and risk mitigation outcomes.Example: A council defines quarterly AI Governance KPIs—including policy compliance rate, model assurance completion, and fairness review coverage—and reports these to its Executive Risk Committee.",No KPIs or metrics exist for AI governance performance.,Some performance measures exist but are informal or inconsistently applied.,"AI governance KPIs and metrics are defined, tracked, and reported regularly to leadership.","Continuous performance measurement drives improvement, with KPIs linked to organisational outcomes and external assurance benchmarks."
Continuous Improvement & Assurance,CA-02,How does the organisation integrate AI governance into internal audit and assurance activities?,"Context
Internal audit plays a key role in verifying AI compliance, effectiveness, and control maturity. Without alignment, AI risks may go unaudited or outside normal assurance cycles. This question assesses whether AI systems, governance processes, and risk controls are incorporated into internal audit planning, execution, and follow-up reviews.Example: A council’s Internal Audit team includes AI governance within its annual audit plan, reviewing policy compliance, data integrity, and fairness testing outcomes across active AI projects.",AI risks and governance controls are not considered within internal audit activities.,Some AI-related audits occur but are informal or limited in scope.,AI governance and control reviews are integrated into the internal audit program.,"A structured AI assurance program ensures regular audits, independent validation, and executive oversight of AI governance outcomes."
